index,id,iwmo_id,name,country,latitude,longitude,elevation
0,1,10010,JAN MAYEN                ,NORWAY              ,70.93000030517578,-8.670013427734375,9.0
1,2,10050,ISFJORD RADIO            ,NORWAY              ,78.06999969482422,13.6300048828125,5.0
2,3,10060,ANDA FYR                 ,NORWAY              ,69.06999969482422,15.17999267578125,14.0
3,4,10080,SVALBARD                 ,NORWAY              ,78.25,15.470001220703125,29.0
4,5,10100,ANDOYA                   ,NORWAY              ,69.30000305175781,16.1199951171875,14.0
5,6,10140,LEIRKJOSEN               ,NORWAY              ,69.55000305175781,17.920013427734375,9.0
6,7,10170,GIBOSTAD                 ,NORWAY              ,69.3499984741211,18.079986572265625,12.0
7,8,10230,BARDUFOSS                ,NORWAY              ,69.06999969482422,18.529998779296875,79.0
8,9,10250,TROMSO/LANGNES           ,NORWAY              ,69.68000030517578,18.920013427734375,10.0
9,10,10280,BJORNOVA                 ,NORWAY              ,74.5199966430664,19.019989013671875,16.0
10,11,10330,TORSVAG                  ,NORWAY              ,70.25,19.5,20.0
11,12,10340,FUGLOYKALVEN FYR         ,NORWAY              ,70.31999969482422,20.149993896484375,37.0
12,13,10350,KVESMENES-RYENG          ,NORWAY              ,69.25,19.980010986328125,40.0
13,14,10410,NORDREISA                ,NORWAY              ,69.75,21.029998779296875,4.0
14,15,10430,LOPPA                    ,NORWAY              ,70.33000183105469,21.470001220703125,10.0
15,16,10470,KAUTOKEINO               ,NORWAY              ,69.0199966430664,23.07000732421875,330.0
16,17,10490,ALTA LUFTHAVN            ,NORWAY              ,69.9800033569336,23.350006103515625,3.0
17,18,10530,HAMMERFEST               ,NORWAY              ,70.68000030517578,23.67999267578125,70.0
18,19,10550,FRUHOLMEN                ,NORWAY              ,71.0999984741211,24.0,13.0
19,20,10570,CUOVDATMAKKI             ,NORWAY              ,69.37000274658203,24.42999267578125,285.0
20,21,10590,BANAK                    ,NORWAY              ,70.06999969482422,24.980010986328125,8.0
21,22,10610,BRENNEL                  ,NORWAY              ,70.06999969482422,25.1199951171875,34.0
22,23,10620,HOPEN                    ,NORWAY              ,76.5,25.07000732421875,6.0
23,24,10630,KISTRAND                 ,NORWAY              ,70.44999694824219,25.17999267578125,43.0
24,25,10650,KARASJOK                 ,NORWAY              ,69.47000122070312,25.519989013671875,129.0
25,26,10660,HELNES FYR               ,NORWAY              ,71.06999969482422,26.230010986328125,33.0
26,27,10670,LEVAJOK-EVJEN            ,NORWAY              ,69.9000015258789,26.420013427734375,112.0
27,28,10750,RUSTEFJELBMA             ,NORWAY              ,70.4000015258789,28.20001220703125,9.0
28,29,10780,SLETNES FYR              ,NORWAY              ,71.08000183105469,28.230010986328125,8.0
29,30,10850,RANA BASMOEN             ,NORWAY              ,66.33000183105469,14.100006103515625,39.0
30,31,10890,KIRKENES                 ,NORWAY              ,69.72000122070312,29.8800048828125,94.0
31,32,10920,MAKKAUR FYR              ,NORWAY              ,70.69999694824219,30.079986572265625,9.0
32,33,10980,VARDO                    ,NORWAY              ,70.37000274658203,31.100006103515625,13.0
33,34,11020,SKLINNA FYR              ,NORWAY              ,65.19999694824219,11.0,16.0
34,35,11030,LEKA                     ,NORWAY              ,65.0999984741211,11.70001220703125,50.0
35,36,11050,SKOMVAER                 ,NORWAY              ,67.41999816894531,11.8800048828125,18.0
36,37,11060,ROST                     ,NORWAY              ,67.5,12.07000732421875,11.0
37,38,11080,VEGA VALLJO              ,NORWAY              ,65.69999694824219,11.850006103515625,2.0
38,39,11090,SKALVAER                 ,NORWAY              ,65.87000274658203,12.17999267578125,6.0
39,40,11120,BRONNOYSUND              ,NORWAY              ,65.47000122070312,12.220001220703125,9.0
40,41,11150,MYKEN                    ,NORWAY              ,66.7699966430664,12.480010986328125,19.0
41,42,11160,SANDNESSJOEN             ,NORWAY              ,65.94999694824219,12.480010986328125,17.0
42,43,11210,NORD-SOLVAER             ,NORWAY              ,66.37000274658203,12.649993896484375,10.0
43,44,11310,GLAPEN FYR               ,NORWAY              ,67.87999725341797,13.04998779296875,31.0
44,45,11340,MAJAVATN II              ,NORWAY              ,65.18000030517578,13.420013427734375,339.0
45,46,11450,KVALNES I LOFOTEN        ,NORWAY              ,68.3499984741211,13.970001220703125,15.0
46,47,11490,NERDAL I RAVA            ,NORWAY              ,66.2699966430664,13.980010986328125,39.0
47,48,11510,MO I RANA                ,NORWAY              ,66.37000274658203,14.32000732421875,70.0
48,49,11520,BODO                     ,NORWAY              ,67.27999877929688,14.420013427734375,12.0
49,50,11550,BO I VESTERALEN          ,NORWAY              ,68.62999725341797,14.470001220703125,11.0
50,51,11600,SKROVA                   ,NORWAY              ,68.1500015258789,14.649993896484375,11.0
51,52,11650,GROTOY                   ,NORWAY              ,67.83000183105469,14.779998779296875,6.0
52,53,11670,SORTLAND                 ,NORWAY              ,68.69999694824219,15.45001220703125,3.0
53,54,11690,SALTDAL                  ,NORWAY              ,66.8499984741211,15.32000732421875,81.0
54,55,11830,EVENES                   ,NORWAY              ,68.5199966430664,16.67999267578125,26.0
55,56,11840,SANDSOY I SENJA          ,NORWAY              ,68.93000030517578,16.67999267578125,45.0
56,57,11910,SKJOMEN-SLETTJORD        ,NORWAY              ,68.27999877929688,17.32000732421875,6.0
57,58,11940,KONGSVIK                 ,NORWAY              ,68.47000122070312,17.5,32.0
58,59,11960,TENNEVOLL                ,NORWAY              ,68.75,17.82000732421875,20.0
59,60,11990,SICCAJAVRE               ,NORWAY              ,68.75,23.54998779296875,382.0
60,61,12030,KRAKNES                  ,NORWAY              ,62.029998779296875,4.980010986328125,38.0
61,62,12050,SVINOY FYR               ,NORWAY              ,62.33000183105469,5.269989013671875,39.0
62,63,12100,VIGRA                    ,NORWAY              ,62.56999969482422,6.1199951171875,22.0
63,64,12120,ONA/HUSOY                ,NORWAY              ,62.869998931884766,6.54998779296875,15.0
64,65,12150,HUSTAD                   ,NORWAY              ,62.970001220703125,7.149993896484375,26.0
65,66,12160,HJELVIK                  ,NORWAY              ,62.619998931884766,7.220001220703125,16.0
66,67,12180,TAFJORD                  ,NORWAY              ,62.22999954223633,7.42999267578125,8.0
67,68,12240,SKALMEN                  ,NORWAY              ,63.470001220703125,7.75,13.0
68,69,12250,SMOLA                    ,NORWAY              ,63.43000030517578,8.079986572265625,27.0
69,70,12270,TINGVOLL-HANEM           ,NORWAY              ,62.849998474121094,8.29998779296875,69.0
70,71,12280,SULA FYR                 ,NORWAY              ,63.849998474121094,8.470001220703125,28.0
71,72,12310,LESKASJOG                ,NORWAY              ,62.22999954223633,8.3699951171875,621.0
72,73,12320,VINJGORA                 ,NORWAY              ,63.20000076293945,9.0,47.0
73,74,12380,FOKSTUA                  ,NORWAY              ,62.119998931884766,9.29998779296875,974.0
74,75,12410,ORLAND                   ,NORWAY              ,63.70000076293945,9.6199951171875,7.0
75,76,12520,BERKAK                   ,NORWAY              ,62.81999969482422,10.019989013671875,475.0
76,77,12580,TRONDHEIM                ,NORWAY              ,63.41999816894531,10.42999267578125,113.0
77,78,12620,NORDOYAN                 ,NORWAY              ,64.80000305175781,10.54998779296875,33.0
78,79,12650,TYNSET                   ,NORWAY              ,62.29999923706055,10.850006103515625,483.0
79,80,12710,VAERNES                  ,NORWAY              ,63.470001220703125,10.92999267578125,17.0
80,81,12770,LEVANGER-EGGEN           ,NORWAY              ,63.720001220703125,11.230010986328125,95.0
81,82,12800,NAMDALSEID               ,NORWAY              ,64.25,11.20001220703125,86.0
82,83,12880,ROROS                    ,NORWAY              ,62.56999969482422,11.3800048828125,628.0
83,84,12950,HARRAN                   ,NORWAY              ,64.58000183105469,12.529998779296875,21.0
84,85,12980,NORDLI-BRATTVOLL         ,NORWAY              ,64.44999694824219,13.720001220703125,462.0
85,86,13040,YTTEROYANE FYR           ,NORWAY              ,61.56999969482422,4.67999267578125,24.0
86,87,13060,HELLISOY FYR             ,NORWAY              ,60.75,4.720001220703125,20.0
87,88,13090,KINN                     ,NORWAY              ,61.56999969482422,4.79998779296875,10.0
88,89,13110,BERGEN/FLESLAND          ,NORWAY              ,60.279998779296875,5.220001220703125,50.0
89,90,13160,BERGEN/FREDRIKSBERG      ,NORWAY              ,60.400001525878906,5.32000732421875,40.0
90,91,13170,BERGEN/FLORIDA           ,NORWAY              ,60.380001068115234,5.329986572265625,39.0
91,92,13190,TAKLE                    ,NORWAY              ,61.029998779296875,5.3800048828125,39.0
92,93,13210,DOMBESTEIN               ,NORWAY              ,61.880001068115234,5.649993896484375,33.0
93,94,13220,FORDE I SONNFJORD        ,NORWAY              ,61.470001220703125,5.850006103515625,48.0
94,95,13280,KVAMSKOGEN               ,NORWAY              ,60.400001525878906,5.920013427734375,408.0
95,96,13390,VANGSNES                 ,NORWAY              ,61.16999816894531,6.649993896484375,53.0
96,97,13420,ULLANSVANG               ,NORWAY              ,60.31999969482422,6.649993896484375,12.0
97,98,13440,REIMEGREND               ,NORWAY              ,60.68000030517578,6.75,560.0
98,99,13510,FINSE                    ,NORWAY              ,60.599998474121094,7.519989013671875,1224.0
99,100,13560,LAPPSTEINEN (AUTO)       ,NORWAY              ,60.43000030517578,7.82000732421875,1170.0
100,101,13600,BRATA                    ,NORWAY              ,61.900001525878906,7.8699951171875,710.0
101,102,13610,FANARAKEN                ,NORWAY              ,61.52000045776367,7.899993896484375,2062.0
102,103,13650,ELVESETER                ,NORWAY              ,61.720001220703125,8.329986572265625,594.0
103,104,13660,SOGNEFJELL               ,NORWAY              ,61.56999969482422,8.0,1413.0
